命题名称,分类,序号,技术要点,核心规则,模拟类型,模板,状态,等级,预估工时(天)
双缝实验(波粒二象性),物理模拟,37,Canvas粒子逐个发射+累积干涉图案，可切换单缝/双缝/观测模式,单个粒子通过双缝产生干涉条纹，观测改变结果,交互叙事,,待开发,S级,7
流体力学(卡门涡街),物理模拟,46,Lattice Boltzmann方法，WebGL加速,流体绕障碍物时交替产生涡旋,可调参数模拟,,待开发,A级,3
热传导扩散,物理模拟,42,2D热力图颜色映射，可设置初始温度分布,热量从高温区向低温区扩散直至均匀,可调参数模拟,,待开发,B级,1
单摆与共振,物理模拟,45,可调驱动频率滑块+振幅响应曲线,驱动频率接近固有频率时振幅急剧增大,可调参数模拟,,待开发,B级,1
多普勒效应,物理模拟,44,运动波源+同心圆波纹动画,波源运动导致前方波长压缩后方拉伸,可调参数模拟,,待开发,B级,1
弹性碰撞与动量守恒,物理模拟,38,2D球体碰撞物理，可调质量与速度,碰撞中总动量与总动能守恒,可调参数模拟,,待开发,A级,2
电场线与等势面,物理模拟,41,可拖拽正负电荷，实时绘制场线与等势线,电荷产生电场，场线方向与等势面垂直,可调参数模拟,,待开发,A级,2
轨道力学(引力弹弓),物理模拟,39,数值积分轨道计算，可拖拽发射角度和速度,利用行星引力加速探测器，不消耗燃料获得速度增益,交互叙事,,待开发,S级,6
粒子群优化(PSO),优化与搜索,52,2D等高线图+粒子群运动轨迹,粒子受个体最优和群体最优吸引，群体协作找到最优解,可调参数模拟,,待开发,B级,1
遗传算法(进化行走生物),优化与搜索,48,简化骨骼物理+进化参数，可视化每代最优个体,选择/交叉/变异迭代优化，种群逐代进化出更好的解,交互叙事,,待开发,S级,7
A*寻路算法,优化与搜索,49,网格地图可绘制障碍，逐步展示open/closed节点,启发式搜索结合已走代价和估计剩余代价找最短路,可调参数模拟,,待开发,A级,2
梯度下降可视化,优化与搜索,51,3D损失曲面+可调学习率/动量，对比SGD/Adam等,沿损失函数梯度方向迭代逼近最小值,可调参数模拟,,待开发,A级,3
迷宫生成与求解,优化与搜索,53,网格迷宫+逐步动画,DFS/Prim生成迷宫，BFS/A*求解，可视化搜索过程,可调参数模拟,,待开发,B级,1
旅行商问题(TSP),优化与搜索,50,可随机/手动放置城市，对比贪心/2-opt/退火算法,NP-hard组合优化，近似算法在合理时间内找到可接受解,可调参数模拟,,待开发,A级,3
模拟退火,优化与搜索,47,2D地形图上搜索粒子+温度曲线,高温时接受劣解以跳出局部最优，逐渐降温收敛,可调参数模拟,,待开发,A级,2
排序算法可视化,优化与搜索,54,柱状图+交换/比较动画，对比多种算法,不同排序算法的比较次数与交换策略差异巨大,可调参数模拟,,待开发,B级,1
谣言扩散 vs 真相扩散,网络与传播,57,双层网络对比传播动画,简单信息传播快，复杂信息需要多重确认因此传播慢,可调参数模拟,,待开发,A级,3
PageRank可视化,网络与传播,60,有向图+节点大小表示rank+随机游走粒子,随机游走者在网络中的稳态分布即为页面重要度,可调参数模拟,,待开发,B级,1
无标度网络(BA模型),网络与传播,59,节点逐步生长动画+度分布双对数图,优先连接导致富者愈富，度分布服从幂律,可调参数模拟,,待开发,A级,2
级联失效,网络与传播,58,电网/互联网拓扑+逐步崩塌动画,一个节点过载导致邻居过载，可引发全网崩溃,可调参数模拟,,待开发,A级,3
社交网络信息茧房,网络与传播,61,Agent观点空间+推荐算法参数可调,推荐算法正反馈导致信息来源越来越窄,可调参数模拟,,待开发,A级,3
六度分隔(小世界网络),网络与传播,55,力导向图布局，可调rewiring概率观察路径长度变化,少量随机长连接使网络平均路径急剧缩短,交互叙事,,待开发,S级,5
疫情传播SIR模型,网络与传播,56,网络上粒子传播+SIR曲线实时图，可调传播率/恢复率,易感-感染-恢复三状态转化，R0决定是否大规模传播,交互叙事,,待开发,S级,5
三十六计·反间计,中华智慧,66,信息传递链路可视化+真假信息混淆动画,利用敌方间谍传递虚假信息，信息污染导致决策错误,交互叙事,对弈型,待开发,B级,1
围棋·势与地的博弈,中华智慧,70,简化棋盘+势力范围可视化热力图,局部最优(实地)vs全局最优(厚势)的权衡，短期收益与长期价值的矛盾,可调参数模拟,对弈型,待开发,A级,3
五行相生相克,中华智慧,67,五色Agent种群模拟+比例饼图实时更新,五元素循环博弈，石头剪刀布的扩展版，种群动态趋向动态平衡,可调参数模拟,画布型,待开发,A级,2
易经八卦与二进制,中华智慧,62,交互式爻线翻转→实时显示二进制/十进制对照,阴爻=0阳爻=1，八卦对应0-7，64卦对应6位二进制，莱布尼茨惊叹的对应关系,交互叙事,揭秘型,待开发,S级,6
太极阴阳动态平衡,中华智慧,69,正弦振荡+阴阳面积动态变化动画,负反馈调节系统：阳极生阴、阴极生阳，系统趋向动态平衡,可调参数模拟,图表型,待开发,B级,1
梅花易数运算可视化,中华智慧,63,输入任意数字/时间，可视化拆分取余过程,以数起卦的分类映射系统，时间/数字→上下卦→变爻→解读路径,可调参数模拟,揭秘型,待开发,A级,3
三十六计·围魏救赵,中华智慧,64,2D战场地图+兵力调配策略对比,攻击对方必救之处迫使其回援，间接博弈优于正面对抗,可调参数模拟,对弈型,待开发,A级,3
孙子兵法·虚实篇,中华智慧,71,兵力集中vs分散对战结果模拟,集中优势兵力攻击分散之敌，以实击虚，兰彻斯特方程验证,交互叙事,对弈型,待开发,B级,1
河图洛书与幻方,中华智慧,68,可拖拽数字填入网格，实时验证行列和,3x3幻方每行每列每对角线之和相等，洛书是最早的幻方记录,交互叙事,揭秘型,待开发,B级,1
三十六计·暗度陈仓,中华智慧,65,双方信息不对称博弈模拟，雾战机制,信息不对称下的虚实博弈，明修栈道吸引注意力,可调参数模拟,对弈型,待开发,A级,3
群体智慧vs群体愚蠢,群体心理,76,用户猜数+群体统计，对比独立vs互相影响条件,独立判断时群体比个体更准确(高尔顿牛重量实验)，互相影响时群体更愚蠢,可调参数模拟,揭秘型,待开发,A级,3
破窗效应,群体心理,80,城市街区Agent模拟，展示混乱传播过程,环境中的小破坏如果不修复，会引发更多破坏行为,可调参数模拟,画布型,待开发,B级,1
群体极化效应,群体心理,72,Agent观点坐标+群体讨论迭代+极化趋势图,温和观点的个体在群体讨论后变得更极端，群体放大偏见,交互叙事,画布型,待开发,S级,5
邓巴数与社交圈层,群体心理,79,同心圆社交圈可视化，展示关系强度衰减,人类认知上限约150人亲密关系，圈层按5/15/50/150递增,可调参数模拟,图表型,待开发,B级,1
社会网络中的观点传播,群体心理,78,网络Agent模拟+观点翻转动画，可调坚定者比例,少数坚定者可以翻转群体观点，临界比例约25%,可调参数模拟,画布型,待开发,A级,3
信息瀑布(羊群效应),群体心理,74,序贯决策模拟，展示信息瀑布形成与崩溃过程,后来者忽略私有信息跟随先行者，即使先行者的选择是错误的,可调参数模拟,画布型,待开发,A级,3
旁观者效应,群体心理,75,可调旁观者人数，展示个体出手概率与群体总救助概率,在场人数越多，个人出手帮助的概率越低(责任分散),可调参数模拟,揭秘型,待开发,A级,2
社会认同与制服效应,群体心理,77,场景模拟+服从率统计对比,人们倾向于服从穿制服/有权威标志的人(米尔格拉姆实验),交互叙事,揭秘型,待开发,B级,1
从众效应(阿希实验),群体心理,73,用户参与线段判断实验，对比独立vs群体条件下的选择,明知答案错误仍选择跟随多数人，社会压力压倒理性判断,交互叙事,揭秘型,待开发,S级,5
锚定效应,认知偏差,81,用户先看随机数再估值，批量统计揭示锚定影响,先看到的数字会影响后续估计，即使两者无关,交互叙事,揭秘型,待开发,S级,5
沉没成本谬误,认知偏差,86,投资决策场景+理性vs实际决策对比,已投入的不可回收成本不应影响未来决策，但人们总是受其影响,交互叙事,揭秘型,待开发,B级,1
可得性偏差,认知偏差,84,概率猜测+真实数据对比可视化,容易想到的事件被高估概率（飞机失事vs车祸）,交互叙事,揭秘型,待开发,B级,1
选择悖论,认知偏差,90,用户在不同选项数量下做选择+满意度统计,选项越多满意度反而越低，6种果酱vs24种果酱实验,交互叙事,揭秘型,待开发,B级,1
峰终定律,认知偏差,87,体验曲线可视化+记忆评分对比,体验记忆由峰值和结尾决定，而非总量（冰水实验）,交互叙事,揭秘型,待开发,B级,1
达克效应,认知偏差,89,自评vs实际能力散点图+经典曲线,能力越低越高估自己，能力越高越低估自己,可调参数模拟,图表型,待开发,B级,1
框架效应,认知偏差,82,用户在两种框架下分别做选择，揭示矛盾,同一事实不同表述导致不同决策（存活率90% vs 死亡率10%）,交互叙事,揭秘型,待开发,S级,5
确认偏误,认知偏差,85,信息筛选模拟，展示选择性接收如何固化错误信念,人倾向于搜索支持已有观点的信息，忽略反面证据,可调参数模拟,揭秘型,待开发,A级,3
幸存者偏差,认知偏差,88,弹孔分布图交互+沃德的反直觉分析,只看到成功案例导致错误归因（二战飞机装甲问题）,可调参数模拟,揭秘型,待开发,A级,3
损失厌恶,认知偏差,83,连续赌局选择+累积收益图，对比理性策略与实际选择,失去100元的痛苦≈得到200元的快乐，损失权重约为收益的2倍,可调参数模拟,揭秘型,待开发,A级,3
比较优势与自由贸易,经济与金融,99,两国两商品生产模拟+贸易前后对比,即使一方在所有方面都更强，分工合作仍然双赢,可调参数模拟,图表型,待开发,B级,1
供需均衡与价格发现,经济与金融,91,可调供需弹性滑块+实时均衡点计算,供给曲线与需求曲线交叉点决定市场均衡价格,可调参数模拟,图表型,待开发,A级,3
银行挤兑模型,经济与金融,100,储户决策博弈+银行准备金可视化,自我实现的预言：相信银行要倒→集体取款→银行真的倒,交互叙事,对弈型,待开发,B级,1
凯恩斯选美博弈,经济与金融,92,用户猜数(0-100的2/3)游戏+纳什均衡收敛动画,不是选你认为最美的，而是选你认为大家认为最美的，层层递归,交互叙事,对弈型,待开发,S级,5
蛛网模型(价格振荡),经济与金融,97,供需图上蛛网路径动画+可调弹性系数,供给滞后导致价格在均衡点周围振荡，可收敛/发散/循环,可调参数模拟,图表型,待开发,B级,1
股市泡沫与崩盘,经济与金融,94,多Agent交易模拟+价格曲线+情绪指标,正反馈推动价格偏离价值→临界点触发恐慌性抛售→崩盘,可调参数模拟,图表型,待开发,A级,3
信息不对称(柠檬市场),经济与金融,96,买卖双方Agent模拟+市场品质退化过程可视化,买方无法区分好车坏车→出价偏低→好车退出→市场崩溃,可调参数模拟,对弈型,待开发,A级,3
看不见的手(市场自调节),经济与金融,95,多Agent市场模拟+资源分配热力图,个体追求自身利益通过价格信号实现资源有效配置,可调参数模拟,画布型,待开发,A级,3
复利的力量,经济与金融,93,复利增长曲线+对比不同利率/时间,指数增长的反直觉性，72法则估算翻倍时间,可调参数模拟,图表型,待开发,B级,1
庞氏骗局动力学,经济与金融,98,资金流入/流出模拟+崩溃时间预测,用新投资者的钱支付旧投资者回报，指数增长需求必然崩溃,可调参数模拟,图表型,待开发,A级,3
红皇后效应(共同进化),生物与生态,105,双种群对抗进化模拟+适应度曲线,寄生虫与宿主军备竞赛，双方必须不断进化才能维持现状,可调参数模拟,画布型,待开发,A级,3
L-System植物生长,生物与生态,107,Canvas递归绘制+可切换不同L-System规则,简单字符串替换规则生成复杂植物形态,可调参数模拟,画布型,待开发,B级,1
捕食者-猎物模型(Lotka-Volterra),生物与生态,101,双种群动态模拟+相空间轨迹图+参数可调,捕食者多→猎物减少→捕食者饿死→猎物恢复，周期振荡,交互叙事,画布型,待开发,S级,5
自然选择模拟,生物与生态,102,彩色甲虫在不同背景下被捕食，可视化种群颜色演化,随机变异+适者生存+遗传，无需设计者即可产生复杂适应,交互叙事,画布型,待开发,S级,6
群体免疫阈值,生物与生态,104,网络粒子模拟+疫苗接种率滑块+R0参数,免疫比例超过1-1/R0时传播链断裂，疫情无法扩散,可调参数模拟,画布型,待开发,A级,3
竞争排除原则,生物与生态,106,双种群竞争曲线+参数微调展示共存条件,两个物种竞争同一生态位时，一个必然灭绝,可调参数模拟,图表型,待开发,B级,1
趋化性与细胞迁移,生物与生态,108,浓度场热力图+粒子迁移动画,细胞沿化学浓度梯度移动，形成聚集模式,可调参数模拟,画布型,待开发,B级,1
种群增长(Logistic增长),生物与生态,103,可调增长率与容量上限，展示J曲线到S曲线转变,初始指数增长→接近环境容量→增速放缓→S曲线,可调参数模拟,图表型,待开发,A级,2
香农通信模型,信息论与编码,113,消息传递动画+噪声强度可调+误码率统计,信源→编码→信道(噪声)→解码→信宿，噪声信道容量有上限,可调参数模拟,图表型,待开发,B级,1
纠错码(汉明码),信息论与编码,111,二进制矩阵交互+故意翻转bit后自动定位纠正,通过冗余位实现错误检测与纠正，校验位定位错误位置,可调参数模拟,揭秘型,待开发,A级,3
信息熵可视化,信息论与编码,109,可调概率分布+实时计算熵值+对比不同分布,越不确定的事件信息量越大，均匀分布熵最大,可调参数模拟,图表型,待开发,A级,3
RSA加密原理,信息论与编码,114,小素数演示加密解密全流程+暴力破解时间估算,大数分解的困难性保障安全，公钥加密私钥解密,可调参数模拟,揭秘型,待开发,A级,3
信息压缩(RLE/LZ),信息论与编码,112,输入字符串→逐步展示压缩过程→压缩率统计,利用数据中的重复模式减少存储量,交互叙事,揭秘型,待开发,B级,1
霍夫曼编码,信息论与编码,110,输入文本→频率统计→建树动画→编码对比,高频字符用短编码低频用长编码，逼近信息熵下界,可调参数模拟,揭秘型,待开发,A级,3
哥德尔不完备定理(直觉版),数学趣题,118,自指悖论动画+类比说谎者悖论,任何足够强的形式系统都存在不可证明也不可否证的真命题,交互叙事,揭秘型,待开发,B级,1
四色定理,数学趣题,116,用户尝试涂色+AI辅助验证+地图可编辑,任何平面地图最多用4种颜色就能使相邻区域不同色,可调参数模拟,画布型,待开发,A级,3
汉诺塔,数学趣题,122,用户可手动操作+自动求解动画+步数计数,n个盘需要2^n-1步，递归分治的经典案例,可调参数模拟,画布型,待开发,B级,1
蒙特卡洛方法求π,数学趣题,119,Canvas投点动画+π估计值实时收敛,随机投点统计落入圆内比例≈π/4,可调参数模拟,画布型,待开发,B级,1
停机问题,数学趣题,121,代码执行动画+自指矛盾可视化,不存在通用算法判断任意程序是否会停止，对角线论证,交互叙事,揭秘型,待开发,B级,1
勾股定理的100种证明,数学趣题,123,交互式几何证明切换(面积法/相似法/代数法),a²+b²=c²，不同证明方法揭示同一真理的不同面,可调参数模拟,揭秘型,待开发,A级,3
七桥问题(欧拉路径),数学趣题,115,可编辑图+用户尝试走路径+自动判定可行性,所有边恰好走一次当且仅当奇数度节点为0或2个,可调参数模拟,画布型,待开发,A级,2
巴拿赫-塔尔斯基悖论(直觉版),数学趣题,120,3D动画演示拆分重组过程+解释无穷精细分割,一个球可以拆成有限块重组为两个同样大小的球,交互叙事,揭秘型,待开发,B级,1
无穷旅馆(希尔伯特旅馆),数学趣题,117,旅馆房间动画+平移/奇偶操作可视化,无穷集合的反直觉性质：满员旅馆仍可容纳新客人,交互叙事,揭秘型,待开发,B级,1
不可能图形(彭罗斯三角),数学趣题,124,3D视角旋转揭示真实结构+经典不可能图形展示,2D投影可以表示3D中不可能存在的结构,交互叙事,揭秘型,待开发,B级,1
秘书问题(最优停止策略),决策与风险,127,用户参与选择实验+不同策略成功率统计对比,先观察37%的候选人然后选择第一个超过所有已观察者的人,交互叙事,揭秘型,待开发,S级,5
信号检测论(SDT),决策与风险,130,可调阈值滑块+ROC曲线实时更新,调整判断阈值时必然在漏报和误报之间权衡,可调参数模拟,图表型,待开发,B级,1
期望值与方差的博弈,决策与风险,129,可调期望/方差+分布可视化对比,同期望值但不同方差的选择导致完全不同的结果分布,可调参数模拟,图表型,待开发,B级,1
多臂老虎机问题,决策与风险,125,多台老虎机模拟+次数分配策略对比+累积收益,探索vs利用的权衡，何时该换一台机器试试运气,可调参数模拟,对弈型,待开发,A级,3
地图投影失真,日常现象,131,多种地图投影切换+面积/形状/方向失真对比,球面无法无失真展开为平面，每种投影都牺牲某种准确性,可调参数模拟,揭秘型,待开发,A级,3
为什么飞机能飞(伯努利原理),日常现象,132,气流粒子模拟+压力分布热力图,气流速度越快压力越小，机翼上下压差产生升力,可调参数模拟,画布型,待开发,B级,1
圣彼得堡悖论(硬币赌徒破产),决策与风险,128,多次随机游走模拟+破产率统计,公平赌博中有限资金方必然破产，即使概率对等,可调参数模拟,图表型,待开发,A级,2
凯利赌博准则,决策与风险,126,连续赌局模拟+不同下注比例的财富曲线对比,最优下注比例=赢面概率-输面概率/赔率，负值时不应下注,可调参数模拟,图表型,待开发,A级,3
为什么天空是蓝色(瑞利散射),日常现象,134,太阳光穿过大气层动画+角度可调,短波长(蓝/紫)光散射强度正比于λ^{-4}，日出日落时路径长蓝光散尽只剩红,交互叙事,揭秘型,待开发,B级,1
虹虹与光的色散,日常现象,133,光线追踪动画+水滴内部光路可视化,白光经水滴折射+内反射后按波长分离形成42°弧,可调参数模拟,画布型,待开发,B级,1
声音的傷叶图案(克拉德尼),艺术与数学,149,频率可调+粒子振动模拟+图案演化,不同频率的声音驱动平面上的粒子形成特定几何图案,可调参数模拟,画布型,待开发,B级,1
分形艺术(谢尔宾斯基三角形),艺术与数学,140,递归绘制动画+可调迭代次数+多种分形切换,无限递归产生自相似结构，每个局部与整体相似,可调参数模拟,画布型,待开发,A级,2
分形音乐生成,艺术与数学,145,分形可视化+对应音符生成+实时播放,利用分形结构生成音乐序列，自相似结构产生美感,可调参数模拟,图表型,待开发,B级,1
微波炉加热原理,日常现象,137,水分子振荡动画+不同材质反应对比,电磁波共振水分子产生热量，金属反射所以不能放,交互叙事,揭秘型,待开发,B级,1
隐写术(信息藏在图片里),信息论与编码,147,用户输入消息→嵌入图片→提取洔示,修改像素最低有效位藏入信息，肉眼不可见,交互叙事,揭秘型,待开发,B级,1
密铺问题(平面填充),艺术与数学,144,拖拽形状填充交互+埃舍尔作品展示,哪些形状可以无缝填充平面，只有特定多边形组合可以,可调参数模拟,画布型,待开发,A级,3
彩色混合(加色vs减色),艺术与数学,142,双模式调色交互+对比结果差异,光混合(加色RGB)与颜料混合(减色CMY)规则相反,交互叙事,揭秘型,待开发,B级,1
分形维度(非整数维度),艺术与数学,150,尺度可调+测量长度实时变化+维度计算,海岸线的长度取决于测量尺度，分形的维度是小数,可调参数模拟,图表型,待开发,B级,1
混沌摄动(奇异吸引子绘画),艺术与数学,148,实时渲染奇异吸引子+可调参数+配色方案,简单微分方程生成的复杂美丽图案，确定性与美的结合,可调参数模拟,画布型,待开发,A级,2
透视与灭点(绘画数学),艺术与数学,143,3D场景→透视投影+灭点拖拽交互,平行线在透视中汇聚于灭点，射影几何的应用,交互叙事,揭秘型,待开发,B级,1
GPS三角定位原理,日常现象,136,卫星+球面交叉动画+误差圆可视化,三颗卫星信号时间差确定三个球面交点,交互叙事,揭秘型,待开发,B级,1
音乐与数学(波形叠加),艺术与数学,141,波形可视化+实时音频播放+倾波分解,和弦音程是小整数比时悦耳，复杂音色是多个正弦波叠加,可调参数模拟,图表型,待开发,A级,3
密码安全与暴力破解,日常现象,135,可调密码长度/字符集+实时计算破解时间,密码空间随长度指数增长，增加1位字符破解时间翻倍,交互叙事,揭秘型,待开发,B级,1
莫比乌斯带与克莱因瓶,数学趣题,146,3D旋转交互+沿表面爬行动画证明单面性,只有一个面和一个边的曲面，打破内外之分,交互叙事,揭秘型,待开发,B级,1
地铁等待悖论,日常现象,138,泊松分布模拟+待等时间统计,随机到达时平均等待=半个发车间隔，但心理感知曲线非线性,可调参数模拟,图表型,待开发,B级,1
黄金比例与斜波那契数列,艺术与数学,139,自然中的φ可视化+斜波那契螺旋绘制+交互探索,1.618…出现在自然界、建筑、艺术中，斜波那契数列相邻项之比趋向φ,交互叙事,揭秘型,待开发,S级,5
共振现象,物理模拟,156,频率滑块+振幅曲线+桥梁振动动画,外力频率接近系统固有频率时振幅急剧增大，塔科马桥崩塞,可调参数模拟,图表型,待开发,A级,2
弘恩谖论(廻徊型医院问题),物理模拟,154,递归绘制+放大显示自相似细节,函数在所有点连续但处处不可微，反直觉的存在性,交互叙事,揭秘型,待开发,B级,1
马太效应(贫富分化动力学),经济与金融,161,多Agent财富分配模拟+基尼系数实时计算,富者愈富穷者愈穷，优势累积导致指数级不平等,可调参数模拟,图表型,待开发,A级,3
六度分隔与小世界网络,网络与传播,160,网络生成+路径搜索动画+添加快捷连接效果,任意两人之间平均只隔6步连接，少量远程连接大幅缩短路径,可调参数模拟,画布型,待开发,A级,3
三十六计·空城计,中华智慧,158,博弈场景模拟+开门/关门决策统计,信息博弈中的反向信号：示弱可能是强的标志(信号博弈),交互叙事,对弈型,待开发,B级,1
拍卖理论(不同拍卖机制),经济与金融,162,多种拍卖模式对比+出价策略模拟,英式/荷兰式/密封式拍卖产生不同行为但收入等价(收入等价定理),交互叙事,对弈型,待开发,B级,1
网络效应(梅特卡夫定律),网络与传播,157,用户增长模拟+网络价值曲线+赢家通吃临界点,网络价值与用户数的平方成正比，赢家通吃,可调参数模拟,图表型,待开发,A级,2
多普勒效应(光与声),物理模拟,152,移动声源动画+波前压缩/波后拉伸可视化,波源与观察者相对运动时频率发生变化,可调参数模拟,画布型,待开发,B级,1
布朗运动与扩散,物理模拟,151,粒子随机游走+密度分布热力图,微观随机碰撞产生宏观扩散，爱因斯坦的证据,可调参数模拟,画布型,待开发,B级,1
光的双缝干涉,物理模拟,153,波动模拟+缝宽/间距可调+干涉图样实时更新,光同时通过两条缝形成干涉条纹，波粒二象性的核心实验,可调参数模拟,画布型,待开发,A级,3
库仑勒抖动(物流堆叠),日常现象,155,圆环/条纹叠加模拟+参数可调,周期性小结构的堆叠在特定尺度下产生意料之外的抖动,交互叙事,揭秘型,待开发,B级,1
