"序号","名称","分类","等级","预估工时天","模拟类型","可行性分","可行性等级","优先级分","价值分","技术风险","疑似重复数","评估结论","分期建议","排名"
"91","供需均衡与价格发现","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","44"
"92","凯恩斯选美博弈","经济与金融","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","82"
"93","复利的力量","经济与金融","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","116"
"94","股市泡沫与崩盘","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","45"
"95","看不见的手(市场自调节)","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","46"
"96","信息不对称(柠檬市场)","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","47"
"97","蛛网模型(价格振荡)","经济与金融","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","117"
"98","庞氏骗局动力学","经济与金融","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","48"
"99","比较优势与自由贸易","经济与金融","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","118"
"100","银行挤兑模型","经济与金融","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","157"
"101","捕食者-猎物模型(Lotka-Volterra)","生物与生态","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","83"
"102","自然选择模拟","生物与生态","S级","6","交互叙事","47","低可行","75.8","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","96"
"103","种群增长(Logistic增长)","生物与生态","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","16"
"104","群体免疫阈值","生物与生态","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","49"
"105","红皇后效应(共同进化)","生物与生态","A级","3","可调参数模拟","78","中可行","78","78","低","1","中高价值扩展；中工时；技术风险低（进化）；参数型交互，开发阻力较低；主题独立","P1-优先排期","87"
"106","竞争排除原则","生物与生态","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","119"
"107","L-System植物生长","生物与生态","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","120"
"108","趋化性与细胞迁移","生物与生态","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","121"
"109","信息熵可视化","信息论与编码","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","50"
"110","霍夫曼编码","信息论与编码","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","51"
"111","纠错码(汉明码)","信息论与编码","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","52"
"112","信息压缩(RLE/LZ)","信息论与编码","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","158"
"113","香农通信模型","信息论与编码","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","122"
"114","RSA加密原理","信息论与编码","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","53"
"115","七桥问题(欧拉路径)","数学趣题","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","17"
"116","四色定理","数学趣题","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","54"
"117","无穷旅馆(希尔伯特旅馆)","数学趣题","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","159"
"118","哥德尔不完备定理(直觉版)","数学趣题","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P2-常规排期","160"
"119","蒙特卡洛方法求π","数学趣题","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","123"
"120","巴拿赫-塔尔斯基悖论(直觉版)","数学趣题","B级","1","交互叙事","82","中可行","68.8","60","中","1","探索性补充；短工时；技术风险中（3D）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","196"
"121","停机问题","数学趣题","B级","1","交互叙事","92","高可行","72.8","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","161"
"122","汉诺塔","数学趣题","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","124"
"123","勾股定理的100种证明","数学趣题","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","55"
"124","不可能图形(彭罗斯三角)","数学趣题","B级","1","交互叙事","82","中可行","68.8","60","中","1","探索性补充；短工时；技术风险中（3D）；叙事型交互，对设计一致性要求更高；主题独立","P3-后置探索","197"
"125","多臂老虎机问题","决策与风险","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","56"
"126","凯利赌博准则","决策与风险","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","57"
"127","秘书问题(最优停止策略)","决策与风险","S级","5","交互叙事","55","低可行","79","95","低","1","高价值主线；长工时；技术风险低（常规交互技术）；叙事型交互，对设计一致性要求更高；主题独立","P1-优先排期","84"
"128","圣彼得堡悖论(硬币赌徒破产)","决策与风险","A级","2","可调参数模拟","93","高可行","84","78","低","1","中高价值扩展；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P0-立即推进","18"
"129","期望值与方差的博弈","决策与风险","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","125"
"130","信号检测论(SDT)","决策与风险","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","126"
"131","地图投影失真","日常现象","A级","3","可调参数模拟","83","中可行","80","78","低","1","中高价值扩展；中工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P1-优先排期","58"
"132","为什么飞机能飞(伯努利原理)","日常现象","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","127"
"133","虹虹与光的色散","日常现象","B级","1","可调参数模拟","98","高可行","75.2","60","低","1","探索性补充；短工时；技术风险低（常规交互技术）；参数型交互，开发阻力较低；主题独立","P2-常规排期","128"
